id	pathogen_nm	url	image	taxonomy	binomial_nm	synonyms	status
1	Ants	https://en.wikipedia.org/wiki/Ant	https://upload.wikimedia.org/wikipedia/commons/1/16/%22Follow_the_leader%22.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hymenoptera,Infraorder:Aculeata,Family:FormicidaeLatreille, 1809			 getSynonyms 020: Synonyms not found
2	28 spotted beetle	https://en.wikipedia.org/wiki/Henosepilachna_vigintioctopunctata	https://upload.wikimedia.org/wikipedia/commons/c/c8/Epilachna_vigintioctopunctata_01.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Coccinellidae,Genus:Henosepilachna	Henosepilachna vigintioctopunctata	Coccinella 28-punctata,Coccinella sparsa,Epilachna gradaria,Epilachna territa,Epilachna vigintioctopunctata,Epilachna sparsa	
3	African armyworm	https://en.wikipedia.org/wiki/African_armyworm	https://upload.wikimedia.org/wikipedia/commons/c/c0/African_armyworm%2C_crop.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Noctuidae,Genus:Spodoptera	Spodoptera exempta	Agrotis exempta,Prodenia bipars,Prodenia ingloria,Laphygma exempta	
4	Alfalfa mosaic virus	https://en.wikipedia.org/wiki/Alfalfa_mosaic_virus	https://upload.wikimedia.org/wikipedia/commons/d/de/5573455-PPT.jpg	Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Alsuviricetes,Order:Martellivirales,Family:Bromoviridae,Genus:Alfamovirus			 getSynonyms 020: Synonyms not found
5	Alternaria	https://en.wikipedia.org/wiki/Alternaria	https://upload.wikimedia.org/wikipedia/commons/7/7b/Alternariosis_3.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:AlternariaNees			 getSynonyms 020: Synonyms not found
6	Alternaria fruit rot	https://en.wikipedia.org/wiki/Alternaria_alternata	https://upload.wikimedia.org/wikipedia/commons/f/fa/Alternaria_spore_chain_160X.png	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria alternata	Alternaria fasciculata,Alternaria rugosa,Alternaria tenuis,Macrosporium fasciculatum,Torula alternata	
7	Alternaria leaf blight	https://en.wikipedia.org/wiki/Alternaria_dauci	https://upload.wikimedia.org/wikipedia/commons/f/f1/Alternaria_dauci_on_a_carrot_stem.png	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria dauci	Alternaria brassicae,Alternaria brassicae,Alternaria carotae,Alternaria porri,Macrosporium carotae,Macrosporium dauci,Polydesmus exitiosus	
8	Alternaria leaf spot	https://en.wikipedia.org/wiki/Alternaria_radicina	https://upload.wikimedia.org/wikipedia/commons/0/0d/Alternaria_radicina_on_Daucus_carota.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria radicina	Macrosporium daucinum,Pseudostemphylium radicinum,Stemphylium radicinum,Thyrospora radicina	
9	Anatrachyntis	https://en.wikipedia.org/wiki/Anatrachyntis_simplex	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Cosmopterigidae,Genus:Anatrachyntis	Anatrachyntis simplex	Pyroderces simplex,Amneris flexiloquella,Stagmatophora gossypiella,Anatrachyntis hemizopha,Anatrachyntis repandatella	
10	Annual broadleaf weeds	https://en.wikipedia.org/wiki/Flowering_plant	https://upload.wikimedia.org/wikipedia/commons/1/16/160_Ranunculus_repens.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Spermatophytes,Clade:Angiosperms		Anthophyta Cronquist[2],Angiospermae Lindl.,Magnoliophyta Cronquist,,Magnolicae Takht.[4]	
11	Annual grasses	https://en.wikipedia.org/wiki/Poaceae	https://upload.wikimedia.org/wikipedia/commons/5/5c/Anomochloa.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Clade:Graminid clade,Family:PoaceaeBarnhart[2]			 None
12	Annual sedges	https://en.wikipedia.org/wiki/Cyperaceae	https://upload.wikimedia.org/wikipedia/commons/2/2e/Carex_demissa_detail.jpeg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:CyperaceaeJuss.[1]			 getSynonyms 020: Synonyms not found
